season,round,date,venue,home_club,away_club,club,player,kicks,marks,handballs,goals,behinds,hitouts,tackles
2019,1,2019-03-21,M.C.G.,Carlton,Richmond,Carlton,Patrick Cripps,10,1,22,0,0,0,6
2019,1,2019-03-21,M.C.G.,Carlton,Richmond,Carlton,David Cuningham,9,5,13,0,0,0,5
2019,1,2019-03-21,M.C.G.,Carlton,Richmond,Carlton,Charlie Curnow,10,1,2,1,0,0,1
2019,1,2019-03-21,M.C.G.,Carlton,Richmond,Carlton,Ed Curnow,13,12,12,0,1,0,3
2019,1,2019-03-21,M.C.G.,Carlton,Richmond,Carlton,Paddy Dow,8,3,13,0,1,0,2
2019,1,2019-03-21,M.C.G.,Carlton,Richmond,Carlton,Alex Fasolo,4,2,1,1,0,0,1
2019,1,2019-03-21,M.C.G.,Carlton,Richmond,Carlton,Zac Fisher,14,2,8,1,1,0,6
2019,1,2019-03-21,M.C.G.,Carlton,Richmond,Carlton,Jarrod Garlett,8,3,1,0,0,0,4
2019,1,2019-03-21,M.C.G.,Carlton,Richmond,Carlton,Michael Gibbons,5,2,6,0,1,0,3
2019,1,2019-03-21,M.C.G.,Carlton,Richmond,Carlton,Liam Jones,4,3,4,0,0,0,5
2019,1,2019-03-21,M.C.G.,Carlton,Richmond,Carlton,Mitch McGovern,8,5,3,1,1,0,0
2019,1,2019-03-21,M.C.G.,Carlton,Richmond,Carlton,Harry McKay,7,6,4,2,1,3,4
2019,1,2019-03-21,M.C.G.,Carlton,Richmond,Carlton,Marc Murphy,16,4,13,1,0,0,1
2019,1,2019-03-21,M.C.G.,Carlton,Richmond,Carlton,Nic Newman,21,9,5,1,0,0,2
2019,1,2019-03-21,M.C.G.,Carlton,Richmond,Carlton,Sam Petrevski-Seton,12,8,6,0,0,0,2
2019,1,2019-03-21,M.C.G.,Carlton,Richmond,Carlton,Andrew Phillips,5,3,4,0,0,27,8
2019,1,2019-03-21,M.C.G.,Carlton,Richmond,Carlton,Lachie Plowman,11,6,2,0,0,0,3
2019,1,2019-03-21,M.C.G.,Carlton,Richmond,Carlton,Will Setterfield,14,2,10,0,1,0,1
2019,1,2019-03-21,M.C.G.,Carlton,Richmond,Carlton,Kade Simpson,14,6,11,0,0,0,1
2019,1,2019-03-21,M.C.G.,Carlton,Richmond,Carlton,Dale Thomas,15,3,12,1,0,0,2
2019,1,2019-03-21,M.C.G.,Carlton,Richmond,Carlton,Sam Walsh,16,6,8,0,1,0,1
2019,1,2019-03-21,M.C.G.,Carlton,Richmond,Carlton,Jacob Weitering,13,7,4,0,0,0,2
2019,1,2019-03-21,M.C.G.,Carlton,Richmond,Richmond,David Astbury,5,1,4,0,0,0,0
2019,1,2019-03-21,M.C.G.,Carlton,Richmond,Richmond,Noah Balta,5,2,0,1,0,6,1
2019,1,2019-03-21,M.C.G.,Carlton,Richmond,Richmond,Nathan Broad,4,1,4,0,0,0,2
2019,1,2019-03-21,M.C.G.,Carlton,Richmond,Richmond,Dan Butler,8,1,5,1,0,0,7
2019,1,2019-03-21,M.C.G.,Carlton,Richmond,Richmond,Trent Cotchin,20,6,11,0,1,0,4
2019,1,2019-03-21,M.C.G.,Carlton,Richmond,Richmond,Shane Edwards,8,0,14,0,0,0,4
2019,1,2019-03-21,M.C.G.,Carlton,Richmond,Richmond,Jack Graham,16,7,7,0,1,0,6
2019,1,2019-03-21,M.C.G.,Carlton,Richmond,Richmond,Dylan Grimes,5,1,4,0,0,0,4
2019,1,2019-03-21,M.C.G.,Carlton,Richmond,Richmond,Jack Higgins,9,6,8,3,0,0,1
2019,1,2019-03-21,M.C.G.,Carlton,Richmond,Richmond,Bachar Houli,16,6,8,0,0,0,4
2019,1,2019-03-21,M.C.G.,Carlton,Richmond,Richmond,Kane Lambert,12,7,18,0,1,0,4
2019,1,2019-03-21,M.C.G.,Carlton,Richmond,Richmond,Tom Lynch,4,1,3,3,1,0,2
2019,1,2019-03-21,M.C.G.,Carlton,Richmond,Richmond,Dustin Martin,18,4,12,0,0,0,0
2019,1,2019-03-21,M.C.G.,Carlton,Richmond,Richmond,Kamdyn McIntosh,9,3,4,1,0,0,4
2019,1,2019-03-21,M.C.G.,Carlton,Richmond,Richmond,Toby Nankervis,13,2,4,3,0,34,2
2019,1,2019-03-21,M.C.G.,Carlton,Richmond,Richmond,Dion Prestia,10,1,10,0,0,0,7
2019,1,2019-03-21,M.C.G.,Carlton,Richmond,Richmond,Alex Rance,3,2,3,0,0,0,2
2019,1,2019-03-21,M.C.G.,Carlton,Richmond,Richmond,Jack Riewoldt,6,2,2,1,1,0,2
2019,1,2019-03-21,M.C.G.,Carlton,Richmond,Richmond,Daniel Rioli,10,4,7,0,2,0,2
2019,1,2019-03-21,M.C.G.,Carlton,Richmond,Richmond,Jayden Short,18,5,2,0,1,0,3
2019,1,2019-03-21,M.C.G.,Carlton,Richmond,Richmond,Nick Vlastuin,10,5,4,0,0,0,1
2019,1,2019-03-21,M.C.G.,Carlton,Richmond,Richmond,Maverick Weller,9,2,6,1,1,0,1
2019,1,2019-03-22,M.C.G.,Collingwood,Geelong,Collingwood,James Aish,15,5,4,0,0,0,4
2019,1,2019-03-22,M.C.G.,Collingwood,Geelong,Collingwood,Dayne Beams,14,4,9,1,0,0,3
2019,1,2019-03-22,M.C.G.,Collingwood,Geelong,Collingwood,Callum Brown,4,1,5,1,0,0,3
2019,1,2019-03-22,M.C.G.,Collingwood,Geelong,Collingwood,Mason Cox,8,3,3,1,1,7,1
2019,1,2019-03-22,M.C.G.,Collingwood,Geelong,Collingwood,Jack Crisp,14,3,12,0,0,0,1
2019,1,2019-03-22,M.C.G.,Collingwood,Geelong,Collingwood,Jordan de Goey,7,3,3,2,2,0,1
2019,1,2019-03-22,M.C.G.,Collingwood,Geelong,Collingwood,Jamie Elliott,7,6,1,3,0,0,5
2019,1,2019-03-22,M.C.G.,Collingwood,Geelong,Collingwood,Brodie Grundy,10,2,8,0,2,34,2
2019,1,2019-03-22,M.C.G.,Collingwood,Geelong,Collingwood,Jeremy Howe,13,5,2,0,0,0,3
2019,1,2019-03-22,M.C.G.,Collingwood,Geelong,Collingwood,Tom Langdon,8,5,6,0,0,0,3
2019,1,2019-03-22,M.C.G.,Collingwood,Geelong,Collingwood,Brayden Maynard,8,3,8,0,0,0,0
2019,1,2019-03-22,M.C.G.,Collingwood,Geelong,Collingwood,Chris Mayne,14,6,8,0,0,0,2
2019,1,2019-03-22,M.C.G.,Collingwood,Geelong,Collingwood,Brody Mihocek,9,5,5,0,0,0,0
2019,1,2019-03-22,M.C.G.,Collingwood,Geelong,Collingwood,Darcy Moore,13,4,3,0,0,0,0
2019,1,2019-03-22,M.C.G.,Collingwood,Geelong,Collingwood,Scott Pendlebury,11,7,13,0,1,0,2
2019,1,2019-03-22,M.C.G.,Collingwood,Geelong,Collingwood,Tom Phillips,16,7,8,0,1,0,1
2019,1,2019-03-22,M.C.G.,Collingwood,Geelong,Collingwood,Jordan Roughead,6,5,4,0,0,0,3
2019,1,2019-03-22,M.C.G.,Collingwood,Geelong,Collingwood,Steele Sidebottom,12,6,14,0,0,0,2
2019,1,2019-03-22,M.C.G.,Collingwood,Geelong,Collingwood,Jaidyn Stephenson,12,7,4,0,1,0,2
2019,1,2019-03-22,M.C.G.,Collingwood,Geelong,Collingwood,Josh Thomas,6,2,10,0,0,0,1
2019,1,2019-03-22,M.C.G.,Collingwood,Geelong,Collingwood,Adam Treloar,14,5,20,1,0,0,6
2019,1,2019-03-22,M.C.G.,Collingwood,Geelong,Collingwood,Travis Varcoe,2,4,7,0,0,0,4
2019,1,2019-03-22,M.C.G.,Collingwood,Geelong,Geelong,Gary Ablett,13,6,10,2,1,0,3
2019,1,2019-03-22,M.C.G.,Collingwood,Geelong,Geelong,Tom Atkins,5,2,4,0,0,0,5
2019,1,2019-03-22,M.C.G.,Collingwood,Geelong,Geelong,Mark Blicavs,6,4,6,0,0,0,2
2019,1,2019-03-22,M.C.G.,Collingwood,Geelong,Geelong,Jordan Clark,14,4,3,0,0,0,0
2019,1,2019-03-22,M.C.G.,Collingwood,Geelong,Geelong,Charlie Constable,9,4,12,1,0,0,3
2019,1,2019-03-22,M.C.G.,Collingwood,Geelong,Geelong,Luke Dahlhaus,8,4,16,1,1,0,6
2019,1,2019-03-22,M.C.G.,Collingwood,Geelong,Geelong,Patrick Dangerfield,16,5,11,1,2,0,3
2019,1,2019-03-22,M.C.G.,Collingwood,Geelong,Geelong,Mitch Duncan,13,8,6,1,1,0,3
2019,1,2019-03-22,M.C.G.,Collingwood,Geelong,Geelong,Tom Hawkins,7,6,5,2,2,0,4
2019,1,2019-03-22,M.C.G.,Collingwood,Geelong,Geelong,Jack Henry,3,2,2,0,0,0,1
2019,1,2019-03-22,M.C.G.,Collingwood,Geelong,Geelong,Tim Kelly,17,5,14,0,0,0,4
2019,1,2019-03-22,M.C.G.,Collingwood,Geelong,Geelong,Jake Kolodjashnij,5,1,4,0,0,0,3
2019,1,2019-03-22,M.C.G.,Collingwood,Geelong,Geelong,Sam Menegola,12,6,7,0,1,0,3
2019,1,2019-03-22,M.C.G.,Collingwood,Geelong,Geelong,Gryan Miers,6,1,5,0,0,0,3
2019,1,2019-03-22,M.C.G.,Collingwood,Geelong,Geelong,Mark OConnor,6,3,7,0,0,0,1
2019,1,2019-03-22,M.C.G.,Collingwood,Geelong,Geelong,Brandan Parfitt,13,1,9,1,0,0,6
2019,1,2019-03-22,M.C.G.,Collingwood,Geelong,Geelong,Esava Ratugolea,2,0,3,0,0,4,2
2019,1,2019-03-22,M.C.G.,Collingwood,Geelong,Geelong,Gary Rohan,9,5,1,0,0,0,2
2019,1,2019-03-22,M.C.G.,Collingwood,Geelong,Geelong,Joel Selwood,16,7,9,1,1,0,2
2019,1,2019-03-22,M.C.G.,Collingwood,Geelong,Geelong,Rhys Stanley,11,4,7,0,0,23,2
2019,1,2019-03-22,M.C.G.,Collingwood,Geelong,Geelong,Tom Stewart,20,7,6,0,0,0,2
2019,1,2019-03-22,M.C.G.,Collingwood,Geelong,Geelong,Harry Taylor,7,6,9,0,0,0,3
2019,1,2019-03-23,M.C.G.,Melbourne,Port Adelaide,Melbourne,Angus Brayshaw,17,4,9,1,1,0,3
2019,1,2019-03-23,M.C.G.,Melbourne,Port Adelaide,Melbourne,Bayley Fritsch,7,4,7,1,0,0,2
2019,1,2019-03-23,M.C.G.,Melbourne,Port Adelaide,Melbourne,Sam Frost,4,3,5,0,0,0,2
2019,1,2019-03-23,M.C.G.,Melbourne,Port Adelaide,Melbourne,Max Gawn,7,3,6,0,0,21,2
2019,1,2019-03-23,M.C.G.,Melbourne,Port Adelaide,Melbourne,James Harmes,12,5,11,0,1,0,4
2019,1,2019-03-23,M.C.G.,Melbourne,Port Adelaide,Melbourne,Michael Hibberd,14,5,1,0,0,0,1
2019,1,2019-03-23,M.C.G.,Melbourne,Port Adelaide,Melbourne,Marty Hore,7,2,7,0,0,0,1
2019,1,2019-03-23,M.C.G.,Melbourne,Port Adelaide,Melbourne,Jayden Hunt,5,0,9,0,0,0,4
2019,1,2019-03-23,M.C.G.,Melbourne,Port Adelaide,Melbourne,Neville Jetta,4,3,6,0,0,0,2
2019,1,2019-03-23,M.C.G.,Melbourne,Port Adelaide,Melbourne,Nathan Jones,12,6,7,1,0,0,1
2019,1,2019-03-23,M.C.G.,Melbourne,Port Adelaide,Melbourne,Oscar McDonald,4,1,1,0,0,0,1
2019,1,2019-03-23,M.C.G.,Melbourne,Port Adelaide,Melbourne,Tom McDonald,4,4,4,1,0,3,1
2019,1,2019-03-23,M.C.G.,Melbourne,Port Adelaide,Melbourne,Jake Melksham,15,8,1,2,0,0,1
2019,1,2019-03-23,M.C.G.,Melbourne,Port Adelaide,Melbourne,Alex Neal-Bullen,9,2,6,0,2,0,5
2019,1,2019-03-23,M.C.G.,Melbourne,Port Adelaide,Melbourne,Clayton Oliver,13,1,10,0,0,0,3
2019,1,2019-03-23,M.C.G.,Melbourne,Port Adelaide,Melbourne,Christian Petracca,5,3,10,1,1,0,3
2019,1,2019-03-23,M.C.G.,Melbourne,Port Adelaide,Melbourne,Christian Salem,30,5,2,0,0,0,4
2019,1,2019-03-23,M.C.G.,Melbourne,Port Adelaide,Melbourne,Charlie Spargo,6,7,5,0,0,0,0
2019,1,2019-03-23,M.C.G.,Melbourne,Port Adelaide,Melbourne,Tom Sparrow,12,1,2,1,0,0,3
2019,1,2019-03-23,M.C.G.,Melbourne,Port Adelaide,Melbourne,Jack Viney,6,1,4,0,0,0,4
2019,1,2019-03-23,M.C.G.,Melbourne,Port Adelaide,Melbourne,Corey Wagner,11,4,3,0,0,0,4
2019,1,2019-03-23,M.C.G.,Melbourne,Port Adelaide,Melbourne,Sam Weideman,6,4,7,1,1,5,2
2019,1,2019-03-23,M.C.G.,Melbourne,Port Adelaide,Port Adelaide,Karl Amon,7,3,14,0,0,0,2
2019,1,2019-03-23,M.C.G.,Melbourne,Port Adelaide,Port Adelaide,Travis Boak,17,9,17,1,2,0,8
2019,1,2019-03-23,M.C.G.,Melbourne,Port Adelaide,Port Adelaide,Riley Bonner,11,4,7,0,0,0,3
2019,1,2019-03-23,M.C.G.,Melbourne,Port Adelaide,Port Adelaide,Ryan Burton,19,3,7,0,2,0,5
2019,1,2019-03-23,M.C.G.,Melbourne,Port Adelaide,Port Adelaide,Zak Butters,7,2,6,2,0,0,3
2019,1,2019-03-23,M.C.G.,Melbourne,Port Adelaide,Port Adelaide,Darcy Byrne-Jones,11,5,8,0,0,0,2
2019,1,2019-03-23,M.C.G.,Melbourne,Port Adelaide,Port Adelaide,Tom Clurey,11,3,4,0,0,0,1
2019,1,2019-03-23,M.C.G.,Melbourne,Port Adelaide,Port Adelaide,Willem Drew,10,5,11,0,0,0,5
2019,1,2019-03-23,M.C.G.,Melbourne,Port Adelaide,Port Adelaide,Xavier Duursma,9,5,7,1,1,0,2
2019,1,2019-03-23,M.C.G.,Melbourne,Port Adelaide,Port Adelaide,Brad Ebert,12,9,11,1,0,0,6
2019,1,2019-03-23,M.C.G.,Melbourne,Port Adelaide,Port Adelaide,Robbie Gray,10,4,13,1,3,0,2
2019,1,2019-03-23,M.C.G.,Melbourne,Port Adelaide,Port Adelaide,Dan Houston,10,3,6,0,0,0,4
2019,1,2019-03-23,M.C.G.,Melbourne,Port Adelaide,Port Adelaide,Tom Jonas,6,2,6,0,0,0,2
2019,1,2019-03-23,M.C.G.,Melbourne,Port Adelaide,Port Adelaide,Scott Lycett,3,0,7,0,0,16,1
2019,1,2019-03-23,M.C.G.,Melbourne,Port Adelaide,Port Adelaide,Todd Marshall,8,4,2,1,1,0,0
2019,1,2019-03-23,M.C.G.,Melbourne,Port Adelaide,Port Adelaide,Steven Motlop,10,3,9,0,0,0,1
2019,1,2019-03-23,M.C.G.,Melbourne,Port Adelaide,Port Adelaide,Sam Powell-Pepper,12,3,8,0,3,0,2
2019,1,2019-03-23,M.C.G.,Melbourne,Port Adelaide,Port Adelaide,Tom Rockliff,24,10,20,0,0,0,8
2019,1,2019-03-23,M.C.G.,Melbourne,Port Adelaide,Port Adelaide,Connor Rozee,6,5,12,0,0,0,5
2019,1,2019-03-23,M.C.G.,Melbourne,Port Adelaide,Port Adelaide,Paddy Ryder,4,2,4,0,1,16,1
2019,1,2019-03-23,M.C.G.,Melbourne,Port Adelaide,Port Adelaide,Jack Watts,12,9,10,0,0,0,3
2019,1,2019-03-23,M.C.G.,Melbourne,Port Adelaide,Port Adelaide,Justin Westhoff,12,9,6,5,0,0,5
2019,1,2019-03-23,Adelaide Oval,Adelaide,Hawthorn,Adelaide,Rory Atkins,22,7,9,0,1,0,0
2019,1,2019-03-23,Adelaide Oval,Adelaide,Hawthorn,Adelaide,Eddie Betts,6,3,4,2,0,0,3
2019,1,2019-03-23,Adelaide Oval,Adelaide,Hawthorn,Adelaide,Brad Crouch,13,6,15,2,0,0,2
2019,1,2019-03-23,Adelaide Oval,Adelaide,Hawthorn,Adelaide,Matt Crouch,16,5,24,1,0,0,4
2019,1,2019-03-23,Adelaide Oval,Adelaide,Hawthorn,Adelaide,Tom Doedee,5,3,3,0,0,0,1
2019,1,2019-03-23,Adelaide Oval,Adelaide,Hawthorn,Adelaide,Richard Douglas,13,4,2,0,2,0,1
2019,1,2019-03-23,Adelaide Oval,Adelaide,Hawthorn,Adelaide,Bryce Gibbs,10,3,6,0,0,0,7
2019,1,2019-03-23,Adelaide Oval,Adelaide,Hawthorn,Adelaide,Sam Jacobs,6,2,6,0,1,31,2
2019,1,2019-03-23,Adelaide Oval,Adelaide,Hawthorn,Adelaide,Josh Jenkins,7,5,5,0,0,4,4
2019,1,2019-03-23,Adelaide Oval,Adelaide,Hawthorn,Adelaide,Chayce Jones,3,3,6,1,1,0,4
2019,1,2019-03-23,Adelaide Oval,Adelaide,Hawthorn,Adelaide,Alex Keath,13,6,7,0,0,0,2
2019,1,2019-03-23,Adelaide Oval,Adelaide,Hawthorn,Adelaide,Jake Kelly,11,4,14,0,0,0,1
2019,1,2019-03-23,Adelaide Oval,Adelaide,Hawthorn,Adelaide,Riley Knight,8,3,12,0,1,0,3
2019,1,2019-03-23,Adelaide Oval,Adelaide,Hawthorn,Adelaide,Rory Laird,18,5,11,0,0,0,3
2019,1,2019-03-23,Adelaide Oval,Adelaide,Hawthorn,Adelaide,Tom Lynch,8,5,12,0,0,0,1
2019,1,2019-03-23,Adelaide Oval,Adelaide,Hawthorn,Adelaide,David Mackay,13,2,6,0,0,0,2
2019,1,2019-03-23,Adelaide Oval,Adelaide,Hawthorn,Adelaide,Wayne Milera,13,4,13,0,1,0,4
2019,1,2019-03-23,Adelaide Oval,Adelaide,Hawthorn,Adelaide,Lachlan Murphy,5,2,6,0,0,0,1
2019,1,2019-03-23,Adelaide Oval,Adelaide,Hawthorn,Adelaide,Rory Sloane,15,4,21,1,0,0,9
2019,1,2019-03-23,Adelaide Oval,Adelaide,Hawthorn,Adelaide,Brodie Smith,9,5,12,0,1,0,2
2019,1,2019-03-23,Adelaide Oval,Adelaide,Hawthorn,Adelaide,Daniel Talia,7,4,11,0,0,0,1
2019,1,2019-03-23,Adelaide Oval,Adelaide,Hawthorn,Adelaide,Taylor Walker,8,6,5,0,1,0,1
2019,1,2019-03-23,Adelaide Oval,Adelaide,Hawthorn,Hawthorn,Luke Breust,5,1,7,1,0,0,3
2019,1,2019-03-23,Adelaide Oval,Adelaide,Hawthorn,Hawthorn,Shaun Burgoyne,7,2,5,0,2,0,3
2019,1,2019-03-23,Adelaide Oval,Adelaide,Hawthorn,Hawthorn,Jonathon Ceglar,4,1,4,0,0,16,2
2019,1,2019-03-23,Adelaide Oval,Adelaide,Hawthorn,Hawthorn,James Cousins,14,4,4,2,0,0,6
2019,1,2019-03-23,Adelaide Oval,Adelaide,Hawthorn,Hawthorn,James Frawley,6,1,3,0,0,0,2
2019,1,2019-03-23,Adelaide Oval,Adelaide,Hawthorn,Hawthorn,Jack Gunston,14,6,5,1,4,0,3
2019,1,2019-03-23,Adelaide Oval,Adelaide,Hawthorn,Hawthorn,Blake Hardwick,15,4,7,0,0,0,4
2019,1,2019-03-23,Adelaide Oval,Adelaide,Hawthorn,Hawthorn,Ricky Henderson,13,7,7,0,0,0,4
2019,1,2019-03-23,Adelaide Oval,Adelaide,Hawthorn,Hawthorn,Jarman Impey,11,6,6,0,0,0,2
2019,1,2019-03-23,Adelaide Oval,Adelaide,Hawthorn,Hawthorn,Ben McEvoy,6,8,12,2,0,23,0
2019,1,2019-03-23,Adelaide Oval,Adelaide,Hawthorn,Hawthorn,David Mirra,10,7,6,0,0,0,4
2019,1,2019-03-23,Adelaide Oval,Adelaide,Hawthorn,Hawthorn,Harry Morrison,7,1,10,0,0,0,6
2019,1,2019-03-23,Adelaide Oval,Adelaide,Hawthorn,Hawthorn,Conor Nash,2,1,8,0,1,0,5
2019,1,2019-03-23,Adelaide Oval,Adelaide,Hawthorn,Hawthorn,Jaeger OMeara,18,3,6,2,2,0,5
2019,1,2019-03-23,Adelaide Oval,Adelaide,Hawthorn,Hawthorn,Paul Puopolo,2,0,7,0,0,0,5
2019,1,2019-03-23,Adelaide Oval,Adelaide,Hawthorn,Hawthorn,Jarryd Roughead,5,3,10,0,3,1,3
2019,1,2019-03-23,Adelaide Oval,Adelaide,Hawthorn,Hawthorn,Jack Scrimshaw,7,2,4,0,0,0,5
2019,1,2019-03-23,Adelaide Oval,Adelaide,Hawthorn,Hawthorn,Liam Shiels,14,0,8,1,1,0,4
2019,1,2019-03-23,Adelaide Oval,Adelaide,Hawthorn,Hawthorn,James Sicily,22,10,4,0,0,0,1
2019,1,2019-03-23,Adelaide Oval,Adelaide,Hawthorn,Hawthorn,Isaac Smith,17,5,3,1,0,0,3
2019,1,2019-03-23,Adelaide Oval,Adelaide,Hawthorn,Hawthorn,Ben Stratton,10,5,5,0,0,0,1
2019,1,2019-03-23,Adelaide Oval,Adelaide,Hawthorn,Hawthorn,James Worpel,16,4,11,2,0,0,3
2019,1,2019-03-23,Docklands,Western Bulldogs,Sydney,Western Bulldogs,Marcus Bontempelli,17,5,12,1,2,0,7
2019,1,2019-03-23,Docklands,Western Bulldogs,Sydney,Western Bulldogs,Zaine Cordy,7,3,6,0,0,0,0
2019,1,2019-03-23,Docklands,Western Bulldogs,Sydney,Western Bulldogs,Hayden Crozier,4,2,3,0,0,0,1
2019,1,2019-03-23,Docklands,Western Bulldogs,Sydney,Western Bulldogs,Caleb Daniel,12,1,8,0,0,0,5
2019,1,2019-03-23,Docklands,Western Bulldogs,Sydney,Western Bulldogs,Tory Dickson,9,4,2,0,1,0,3
2019,1,2019-03-23,Docklands,Western Bulldogs,Sydney,Western Bulldogs,Josh Dunkley,9,0,11,0,1,0,7
2019,1,2019-03-23,Docklands,Western Bulldogs,Sydney,Western Bulldogs,Taylor Duryea,11,1,4,1,0,0,1
2019,1,2019-03-23,Docklands,Western Bulldogs,Sydney,Western Bulldogs,Tim English,5,1,3,0,0,19,7
2019,1,2019-03-23,Docklands,Western Bulldogs,Sydney,Western Bulldogs,Billy Gowers,10,4,1,2,2,0,2
2019,1,2019-03-23,Docklands,Western Bulldogs,Sydney,Western Bulldogs,Lachie Hunter,10,5,16,0,1,0,8
2019,1,2019-03-23,Docklands,Western Bulldogs,Sydney,Western Bulldogs,Tom Liberatore,18,1,10,0,2,0,3
2019,1,2019-03-23,Docklands,Western Bulldogs,Sydney,Western Bulldogs,Sam Lloyd,12,2,10,2,1,0,3
2019,1,2019-03-23,Docklands,Western Bulldogs,Sydney,Western Bulldogs,Jack Macrae,15,5,17,0,0,0,3
2019,1,2019-03-23,Docklands,Western Bulldogs,Sydney,Western Bulldogs,Toby McLean,11,4,11,0,0,0,3
2019,1,2019-03-23,Docklands,Western Bulldogs,Sydney,Western Bulldogs,Aaron Naughton,11,6,4,3,2,0,1
2019,1,2019-03-23,Docklands,Western Bulldogs,Sydney,Western Bulldogs,Ed Richards,6,1,6,1,0,0,0
2019,1,2019-03-23,Docklands,Western Bulldogs,Sydney,Western Bulldogs,Josh Schache,4,0,6,1,1,1,1
2019,1,2019-03-23,Docklands,Western Bulldogs,Sydney,Western Bulldogs,Bailey Smith,4,1,4,0,0,0,4
2019,1,2019-03-23,Docklands,Western Bulldogs,Sydney,Western Bulldogs,Matt Suckling,16,5,6,0,0,0,1
2019,1,2019-03-23,Docklands,Western Bulldogs,Sydney,Western Bulldogs,Mitch Wallis,10,4,16,0,1,0,4
2019,1,2019-03-23,Docklands,Western Bulldogs,Sydney,Western Bulldogs,Bailey Williams,11,4,1,0,0,0,1
2019,1,2019-03-23,Docklands,Western Bulldogs,Sydney,Western Bulldogs,Easton Wood,5,3,0,0,0,0,1
2019,1,2019-03-23,Docklands,Western Bulldogs,Sydney,Sydney,Aliir Aliir,9,4,6,0,0,2,1
2019,1,2019-03-23,Docklands,Western Bulldogs,Sydney,Sydney,Nick Blakey,6,1,4,1,1,0,1
2019,1,2019-03-23,Docklands,Western Bulldogs,Sydney,Sydney,Ryan Clarke,4,2,13,0,0,0,3
2019,1,2019-03-23,Docklands,Western Bulldogs,Sydney,Sydney,Harry Cunningham,13,6,10,0,0,0,1
2019,1,2019-03-23,Docklands,Western Bulldogs,Sydney,Sydney,Jordan Dawson,4,2,10,0,0,0,2
2019,1,2019-03-23,Docklands,Western Bulldogs,Sydney,Sydney,Oliver Florent,6,4,7,0,0,0,2
2019,1,2019-03-23,Docklands,Western Bulldogs,Sydney,Sydney,Lance Franklin,6,5,1,1,2,0,2
2019,1,2019-03-23,Docklands,Western Bulldogs,Sydney,Sydney,Heath Grundy,7,3,4,0,0,3,2
2019,1,2019-03-23,Docklands,Western Bulldogs,Sydney,Sydney,Will Hayward,6,3,3,1,1,0,6
2019,1,2019-03-23,Docklands,Western Bulldogs,Sydney,Sydney,Isaac Heeney,6,5,13,2,0,0,5
2019,1,2019-03-23,Docklands,Western Bulldogs,Sydney,Sydney,George Hewett,13,2,8,0,0,0,2
2019,1,2019-03-23,Docklands,Western Bulldogs,Sydney,Sydney,Zak Jones,16,5,8,0,2,0,4
2019,1,2019-03-23,Docklands,Western Bulldogs,Sydney,Sydney,Josh Kennedy,13,3,9,0,3,0,7
2019,1,2019-03-23,Docklands,Western Bulldogs,Sydney,Sydney,Jake Lloyd,24,10,11,0,0,0,1
2019,1,2019-03-23,Docklands,Western Bulldogs,Sydney,Sydney,Jarrad McVeigh,10,1,12,0,0,0,0
2019,1,2019-03-23,Docklands,Western Bulldogs,Sydney,Sydney,Lewis Melican,5,3,3,0,0,0,4
2019,1,2019-03-23,Docklands,Western Bulldogs,Sydney,Sydney,Callum Mills,11,3,9,1,0,0,2
2019,1,2019-03-23,Docklands,Western Bulldogs,Sydney,Sydney,Tom Papley,11,6,8,1,0,0,6
2019,1,2019-03-23,Docklands,Western Bulldogs,Sydney,Sydney,Luke Parker,12,3,10,0,0,0,7
2019,1,2019-03-23,Docklands,Western Bulldogs,Sydney,Sydney,Dane Rampe,12,4,5,0,0,0,7
2019,1,2019-03-23,Docklands,Western Bulldogs,Sydney,Sydney,Sam Reid,7,7,3,2,1,0,0
2019,1,2019-03-23,Docklands,Western Bulldogs,Sydney,Sydney,Callum Sinclair,6,6,5,0,0,44,5
2019,1,2019-03-23,Gabba,Brisbane Lions,West Coast,Brisbane Lions,Harris Andrews,8,6,12,0,0,0,1
2019,1,2019-03-23,Gabba,Brisbane Lions,West Coast,Brisbane Lions,Zac Bailey,10,4,5,0,1,0,1
2019,1,2019-03-23,Gabba,Brisbane Lions,West Coast,Brisbane Lions,Ryan Bastinac,12,9,2,1,0,0,1
2019,1,2019-03-23,Gabba,Brisbane Lions,West Coast,Brisbane Lions,Jarrod Berry,10,4,15,0,1,0,4
2019,1,2019-03-23,Gabba,Brisbane Lions,West Coast,Brisbane Lions,Charlie Cameron,9,5,4,3,1,0,4
2019,1,2019-03-23,Gabba,Brisbane Lions,West Coast,Brisbane Lions,Darcy Gardiner,12,6,3,0,0,0,2
2019,1,2019-03-23,Gabba,Brisbane Lions,West Coast,Brisbane Lions,Eric Hipwood,8,2,0,0,1,0,1
2019,1,2019-03-23,Gabba,Brisbane Lions,West Coast,Brisbane Lions,Luke Hodge,13,6,7,0,0,0,1
2019,1,2019-03-23,Gabba,Brisbane Lions,West Coast,Brisbane Lions,Jarryd Lyons,15,1,11,0,0,0,7
2019,1,2019-03-23,Gabba,Brisbane Lions,West Coast,Brisbane Lions,Stefan Martin,4,0,9,0,0,18,3
2019,1,2019-03-23,Gabba,Brisbane Lions,West Coast,Brisbane Lions,Rhys Mathieson,12,2,13,1,0,0,3
2019,1,2019-03-23,Gabba,Brisbane Lions,West Coast,Brisbane Lions,Lincoln McCarthy,7,2,4,4,0,0,4
